player_id,player_display_name,position,team,week,def_tackles_solo,def_tackle_assists,def_tackles_for_loss,def_fumbles_forced,def_sacks,def_qb_hits,def_interceptions,def_pass_defended,def_tds,def_fumble_recovery_opp
00-0033945,Samson Ebukam,DE,IND,1,1,0,1,0,1.0,3,0,0,0,0
00-0033947,Deatrich Wise,DE,WAS,1,2,1,1,0,0.0,1,0,0,0,0
00-0033952,Grover Stewart,DT,IND,1,0,2,0,0,0.0,1,0,0,0,0
00-0033964,Al-Quadin Muhammad,LB,DET,1,0,0,0,0,0.0,1,0,0,0,0
00-0034067,Scott Daly,LS,CHI,1,0,1,0,0,0.0,0,0,0,0,0
00-0034163,Jacob Martin,DE,WAS,1,0,1,0,0,0.0,0,0,0,0,0
00-0034234,Poona Ford,DT,LAR,1,0,0,0,0,0.0,1,0,0,0,0
00-0034251,Daniel Ekuale,DT,PIT,1,1,0,0,0,0.0,0,0,0,0,0
00-0034275,Foley Fatukasi,DT,HOU,1,2,1,1,0,1.0,1,0,0,0,0
00-0034277,DeShon Elliott,SAF,PIT,1,5,1,0,0,0.0,0,0,0,0,0
00-0034285,Zach Sieler,DE,MIA,1,3,0,0,0,0.0,0,0,0,0,0
00-0034302,Frankie Luvu,LB,WAS,1,1,6,0,0,0.0,0,0,0,0,0
00-0034333,Daron Payne,NT,WAS,1,2,3,1,0,1.0,1,0,2,0,0
00-0034344,Marcus Davenport,DE,DET,1,1,1,0,0,0.0,0,0,0,0,0
00-0034348,Courtland Sutton,WR,DEN,1,1,0,0,0,0.0,0,0,0,0,0
00-0034356,Donte Jackson,CB,LAC,1,3,0,0,0,0.0,0,0,1,0,0
00-0034359,Tyquan Lewis,DE,IND,1,0,1,0,0,0.0,0,0,0,0,0
00-0034361,Justin Reid,S,NO,1,3,3,0,0,0.0,0,0,0,0,0
00-0034371,Da'Shawn Hand,DE,LAC,1,1,1,1,0,1.0,2,0,0,0,0
00-0034373,Dorance Armstrong,DE,WAS,1,4,0,1,0,1.0,1,0,0,0,0
00-0034376,Taron Johnson,CB,BUF,1,2,0,0,0,0.0,0,0,0,0,0
00-0034377,Avonte Maddox,FS,DET,1,1,0,0,0,0.0,0,0,0,0,0
00-0034381,Josh Sweat,LB,ARI,1,0,1,0,0,0.0,1,0,0,0,0
00-0034384,D.J. Reed,CB,DET,1,3,1,0,0,0.0,0,0,0,0,0
00-0034397,Tim Settle,DT,HOU,1,0,1,0,0,0.0,0,0,0,0,0
00-0034413,Foye Oluokun,LB,JAX,1,5,5,0,1,0.0,0,1,1,0,0
00-0034431,Zaire Franklin,OLB,IND,1,2,2,0,0,0.0,0,0,0,0,0
00-0034465,Jeremy Reaves,DB,WAS,1,0,0,0,0,0.0,0,0,1,0,0
00-0034473,Dennis Gardeck,LB,JAX,1,2,0,0,0,0.0,0,0,0,0,0
00-0034485,Jonathan Owens,SAF,CHI,1,2,0,0,0,0.0,0,0,0,0,0
00-0034487,Trent Sherfield,WR,DEN,1,1,0,0,0,0.0,0,0,0,0,0
00-0034488,Tavierre Thomas,SAF,MIN,1,0,2,0,1,0.0,0,0,0,0,0
00-0034573,Charvarius Ward,CB,IND,1,4,2,0,0,0.0,0,0,0,0,0
00-0034673,Tremaine Edmunds,MLB,CHI,1,2,4,0,0,0.0,0,0,1,0,0
00-0034675,Jessie Bates,FS,ATL,1,2,5,0,0,0.0,0,0,0,0,0
00-0034720,Robert Spillane,LB,NE,1,3,0,0,0,0.0,0,0,0,0,0
00-0034728,Jaire Alexander,CB,BAL,1,2,1,0,0,0.0,0,0,0,0,0
00-0034754,Oren Burks,ILB,CIN,1,1,1,1,0,0.0,0,0,0,0,0
00-0034760,Nathan Shepherd,DE,NO,1,1,2,0,0,0.0,0,0,0,0,0
00-0034773,Vita Vea,DT,TB,1,1,1,0,0,0.0,0,0,0,0,0
00-0034778,Carlton Davis III,CB,NE,1,2,2,0,0,0.0,0,0,2,0,0
00-0034780,Isaac Yiadom,CB,NO,1,2,2,0,0,0.0,0,0,0,0,0
00-0034782,Harrison Phillips,DT,NYJ,1,2,0,0,0,0.0,0,0,0,0,0
00-0034789,Minkah Fitzpatrick,FS,MIA,1,5,3,0,0,0.0,0,0,1,0,0
00-0034790,Derwin James,FS,LAC,1,5,2,1,0,0.0,2,0,0,0,0
00-0034797,Jerome Baker,OLB,CLE,1,0,1,0,0,0.0,0,0,0,0,0
00-0034800,B.J. Hill,DE,CIN,1,3,4,1,0,1.0,1,0,0,0,0
00-0034805,John Franklin-Myers,DE,DEN,1,0,1,0,0,0.0,0,0,0,0,0
00-0034810,Sebastian Joseph-Day,DT,TEN,1,1,3,0,0,0.0,0,0,0,0,0
00-0034815,Fred Warner,MLB,SF,1,4,4,1,0,0.0,0,0,0,0,0
00-0034818,Derrick Nnadi,NT,KC,1,1,0,0,0,0.0,0,0,0,0,0
00-0034825,Arden Key,DE,TEN,1,1,0,0,0,0.0,0,0,0,0,0
00-0034828,Harold Landry III,LB,NE,1,3,1,3,0,2.5,4,0,0,0,0
00-0034832,Bradley Chubb,OLB,MIA,1,1,0,1,0,1.0,1,0,0,0,0
00-0034843,Mike Hughes,CB,ATL,1,0,2,0,0,0.0,0,0,1,0,0
00-0034847,Mike McGlinchey,OT,DEN,1,1,0,0,0,0.0,0,0,0,0,0
00-0034856,Denzel Ward,CB,CLE,1,2,0,0,0,0.0,0,0,1,0,0
00-0034874,Roquan Smith,ILB,BAL,1,8,2,0,0,0.0,0,0,0,0,0
00-0034967,Rashan Gary,LB,GB,1,3,4,1,0,1.5,3,0,0,0,0
00-0034973,Maxx Crosby,DE,LV,1,1,1,1,0,1.0,2,0,1,0,0
00-0034974,Julian Love,SAF,SEA,1,8,2,1,0,1.0,1,0,0,0,0
00-0035021,Ashton Dulin,WR,IND,1,1,0,0,0,0.0,0,0,0,0,0
00-0035133,Keisean Nixon,DB,GB,1,5,1,1,0,0.0,0,0,0,0,0
00-0035144,Mack Wilson,LB,ARI,1,3,4,1,0,0.0,0,0,1,0,0
00-0035166,Azeez Al-Shaair,LB,HOU,1,3,4,0,1,0.0,0,0,0,0,0
00-0035202,Del'Shawn Phillips,LB,LAC,1,0,3,0,0,0.0,0,0,0,0,0
00-0035230,Ed Oliver,DT,BUF,1,6,0,3,1,1.0,2,0,0,0,0
00-0035236,Byron Murphy,CB,MIN,1,4,0,0,0,0.0,0,0,0,0,0
00-0035248,Zach Allen,DE,DEN,1,1,0,1,0,1.0,5,0,0,0,0
00-0035253,C.J. Gardner-Johnson,SAF,HOU,1,2,2,0,0,0.0,0,0,0,0,0
00-0035254,Anthony Nelson,LB,TB,1,1,2,0,0,0.0,0,0,0,0,0
00-0035262,Drue Tranquill,LB,KC,1,4,1,2,0,2.0,2,0,0,0,0
00-0035272,Andrew Van Ginkel,OLB,MIN,1,3,2,1,0,0.0,0,0,2,0,0
00-0035276,Blake Cashman,LB,MIN,1,2,1,0,0,0.0,0,0,0,0,0
00-0035277,Mike Jackson,CB,CAR,1,4,0,1,0,0.0,0,0,1,0,0
00-0035279,Charles Omenihu,DE,KC,1,2,0,0,0,0.0,1,0,0,0,0
00-0035301,Donovan Wilson,SAF,DAL,1,0,1,0,0,0.0,0,0,0,0,0
00-0035316,Kaden Elliss,LB,ATL,1,3,2,0,0,0.0,0,0,1,0,0
00-0035330,Anthony Pittman,LB,DET,1,1,0,0,0,0.0,0,0,0,0,0
00-0035352,Tyrel Dodson,LB,MIA,1,6,7,1,0,0.0,0,0,0,0,0
00-0035357,Cam Lewis,CB,BUF,1,2,0,0,0,0.0,0,0,0,0,0
00-0035378,Andrew Wingard,SAF,JAX,1,3,6,0,0,0.0,0,0,0,0,0
00-0035402,Carl Granderson,DE,NO,1,4,1,1,0,1.5,1,0,2,0,0
00-0035413,Luke Gifford,LB,SF,1,1,3,0,0,0.0,0,0,0,0,0
00-0035500,Greg Dortch,WR,ARI,1,0,1,0,0,0.0,0,0,0,0,0
00-0035525,Devin Bush,LB,CLE,1,3,3,1,0,0.0,1,0,1,0,0
00-0035567,Craig Reynolds,RB,DET,1,1,0,0,0,0.0,0,0,0,0,0
00-0035602,Alex Bachman,WR,LV,1,0,1,0,0,0.0,0,0,0,0,0
00-0035617,Troy Reeder,LB,LAR,1,1,0,0,0,0.0,0,0,0,0,0
00-0035625,Juan Thornhill,SAF,PIT,1,4,5,0,0,0.0,0,0,0,0,0
00-0035632,Amani Hooker,SAF,TEN,1,3,2,0,0,0.0,0,0,1,0,0
00-0035633,Corey Ballentine,DB,NE,1,0,1,0,0,0.0,0,0,0,0,0
00-0035636,L.J. Collier,DE,ARI,1,1,0,0,0,0.0,0,0,0,0,0
00-0035642,Josh Hines-Allen,DE,JAX,1,0,0,0,0,0.0,1,0,0,0,0
00-0035643,Jeffery Simmons,DT,TEN,1,3,1,1,1,1.0,4,0,0,0,0
00-0035647,Montez Sweat,DE,CHI,1,0,0,2,0,0.0,0,0,1,0,0
00-0035655,Will Harris,SAF,WAS,1,3,1,0,1,0.0,0,0,0,0,0
00-0035656,Khalen Saunders,DT,JAX,1,0,2,0,0,0.0,0,0,0,0,0
00-0035663,Taylor Rapp,SAF,BUF,1,4,2,0,0,0.0,0,0,0,0,0
00-0035667,Greg Gaines,DT,TB,1,0,1,0,0,0.0,0,0,0,0,0
00-0035669,Nick Scott,SAF,CAR,1,2,3,0,0,0.0,0,0,1,0,0
00-0035672,Cody Barton,LB,TEN,1,5,4,1,0,0.0,0,0,0,0,0
00-0035674,Jerry Tillery,DT,KC,1,1,0,1,0,0.0,0,0,0,0,0
00-0035678,Dre'Mont Jones,DE,TEN,1,0,2,0,0,0.0,0,0,0,0,0
00-0035680,Quincy Williams,LB,NYJ,1,4,2,1,0,1.0,1,0,0,0,0
00-0035683,Dexter Lawrence,DT,NYG,1,0,3,0,0,0.0,0,0,0,0,0
00-0035687,Bobby Okereke,ILB,NYG,1,7,9,0,0,0.0,0,0,0,0,0
00-0035697,Germaine Pratt,LB,LV,1,1,7,0,0,0.0,0,0,0,0,0
