season,team,games,points_for,points_against,ppg,oppg,net_ppg
2020,WAS,17,358,360,21.058823529411764,21.176470588235293,-0.117647058823529
2022,MIA,18,428,433,23.77777777777778,24.05555555555556,-0.2777777777777785
2020,CLE,18,473,478,26.27777777777778,26.55555555555556,-0.2777777777777785
2021,BAL,17,387,392,22.764705882352946,23.058823529411764,-0.2941176470588225
2024,LAR,19,416,423,21.894736842105264,22.26315789473684,-0.3684210526315787
2018,CAR,16,376,382,23.5,23.875,-0.375
2019,LAC,16,337,345,21.0625,21.5625,-0.5
2022,MIN,18,448,458,24.88888888888889,25.444444444444443,-0.5555555555555536
2018,ATL,16,414,423,25.875,26.4375,-0.5625
2020,CHI,17,381,391,22.41176470588235,23.0,-0.5882352941176485
2022,SEA,18,430,442,23.88888888888889,24.55555555555556,-0.6666666666666679
2019,IND,16,361,373,22.5625,23.3125,-0.75
2025,PIT,18,403,417,22.38888888888889,23.166666666666668,-0.7777777777777786
2016,LAC,16,410,423,25.625,26.4375,-0.8125
2019,PIT,16,289,303,18.0625,18.9375,-0.875
2020,SF,16,376,390,23.5,24.375,-0.875
2022,NO,17,330,345,19.41176470588235,20.294117647058822,-0.882352941176471
2016,TB,16,354,369,22.125,23.0625,-0.9375
2023,PHI,18,442,460,24.55555555555556,25.55555555555556,-1.0
2023,CIN,17,366,384,21.529411764705884,22.58823529411765,-1.0588235294117645
2023,MIN,17,344,362,20.235294117647054,21.294117647058822,-1.0588235294117645
2023,CHI,17,360,379,21.176470588235293,22.294117647058822,-1.117647058823529
2023,IND,17,396,415,23.294117647058822,24.41176470588235,-1.117647058823529
2024,MIA,17,345,364,20.294117647058822,21.41176470588235,-1.117647058823529
2019,CHI,16,280,298,17.5,18.625,-1.125
2019,ATL,16,381,399,23.8125,24.9375,-1.125
2020,ATL,16,396,414,24.75,25.875,-1.125
2022,CLE,17,361,381,21.235294117647054,22.41176470588235,-1.1764705882352935
2022,NYJ,17,296,316,17.41176470588235,18.58823529411765,-1.176470588235297
2022,ATL,17,365,386,21.47058823529412,22.705882352941178,-1.2352941176470615
2018,DEN,16,329,349,20.5625,21.8125,-1.25
2022,WAS,17,321,343,18.88235294117647,20.176470588235293,-1.2941176470588225
2021,CLE,17,349,371,20.529411764705884,21.823529411764707,-1.2941176470588225
2019,HOU,18,431,455,23.944444444444443,25.27777777777778,-1.3333333333333357
2022,LV,17,395,418,23.235294117647054,24.58823529411765,-1.3529411764705903
2018,GB,16,376,400,23.5,25.0,-1.5
2022,NYG,19,403,433,21.210526315789476,22.789473684210527,-1.5789473684210549
2022,CAR,17,347,374,20.41176470588235,22.0,-1.5882352941176483
2020,NE,16,326,353,20.375,22.0625,-1.6875
2025,TB,17,380,411,22.352941176470587,24.176470588235293,-1.8235294117647065
2021,MIA,17,341,373,20.058823529411764,21.94117647058824,-1.882352941176471
2016,DET,17,352,384,20.705882352941178,22.58823529411765,-1.882352941176471
2023,PIT,18,321,355,17.833333333333332,19.72222222222222,-1.8888888888888893
2024,ATL,17,389,423,22.88235294117647,24.88235294117647,-2.0
2016,MIA,17,375,410,22.058823529411764,24.11764705882353,-2.0588235294117645
2018,CLE,16,359,392,22.4375,24.5,-2.0625
2016,CAR,16,369,402,23.0625,25.125,-2.0625
2019,DEN,16,282,316,17.625,19.75,-2.125
2022,PIT,17,308,346,18.11764705882353,20.352941176470587,-2.235294117647058
2023,SEA,17,364,402,21.41176470588235,23.647058823529413,-2.235294117647061
2018,DET,16,324,360,20.25,22.5,-2.25
